"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","9","3","6",
"Alexander CI","5","0","5",
"Anson CI","3","0","3",
"Avery-Mitchell CI","4","0","4",
"Bertie CI","49","10","39",
"Burke CRV","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","27","17","10",
"Carteret CC","0","0","0",
"Caswell CC","418","41","377",
"Catawba CC","0","0","0",
"Central Prison","119","8","111",
"Columbus CI","2","0","2",
"Craggy CC","6","0","6",
"Craven CI","212","0","212",
"Dan River PWF","2","0","2",
"Davidson CC","1","0","1",
"Eastern CI","6","0","6",
"Foothills CI","22","12","10",
"Forsyth CC","0","0","0",
"Franklin CC","1","0","1",
"Gaston CC","0","0","0",
"Greene CI","25","0","25",
"Harnett CI","3","0","3",
"Hyde CI","2","0","2",
"Johnston CI","18","4","14",
"Lincoln CC","1","0","1",
"Lumberton CI","12","0","12",
"Marion CI","3","0","3",
"Maury CI","11","0","11",
"Morrison CI","3","0","3",
"Mountain View CI","7","0","7",
"NC CI Women","341","91","250",
"Nash CI","5","0","5",
"Neuse CI","701","466","235",
"New Hanover CC","1","0","1",
"North Piedmont CRV","31","0","31",
"Orange CC","2","0","2",
"Pamlico CI","5","0","5",
"Pasquotank CI","55","19","36",
"Pender CI","52","17","35",
"Piedmont CI","221","2","219",
"Polk CI","134","1","133",
"Randolph CC","4","0","4",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","50","5","45",
"Southern CI","22","3","19",
"Swannanoa CCW","0","0","0",
"Tabor CI","22","0","22",
"Wake CC","1","0","1",
"Warren CI","4","0","4",
"Wilkes CC","50","14","36",
"Statewide Totals","2681","713","1968",
