"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","6","0","6",
"Alexander CI","4","0","4",
"Anson CI","2","0","2",
"Avery-Mitchell CI","4","0","4",
"Bertie CI","48","10","38",
"Burke CRV","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","27","17","10",
"Carteret CC","0","0","0",
"Caswell CC","418","41","377",
"Catawba CC","0","0","0",
"Central Prison","86","8","78",
"Columbus CI","1","0","1",
"Craggy CC","5","0","5",
"Craven CI","42","0","42",
"Dan River PWF","1","0","1",
"Davidson CC","1","0","1",
"Eastern CI","6","0","6",
"Foothills CI","14","9","5",
"Forsyth CC","0","0","0",
"Franklin CC","1","0","1",
"Gaston CC","0","0","0",
"Greene CI","24","0","24",
"Harnett CI","3","0","3",
"Hyde CI","2","0","2",
"Johnston CI","18","4","14",
"Lincoln CC","1","0","1",
"Lumberton CI","11","0","11",
"Marion CI","3","0","3",
"Maury CI","11","0","11",
"Morrison CI","0","0","0",
"Mountain View CI","6","0","6",
"NC CI Women","279","91","188",
"Nash CI","5","0","5",
"Neuse CI","701","466","235",
"New Hanover CC","1","0","1",
"North Piedmont CRV","14","0","14",
"Orange CC","2","0","2",
"Pamlico CI","4","0","4",
"Pasquotank CI","55","19","36",
"Pender CI","51","17","34",
"Piedmont CI","91","1","90",
"Polk CI","36","0","36",
"Randolph CC","3","0","3",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","47","5","42",
"Southern CI","21","3","18",
"Swannanoa CCW","0","0","0",
"Tabor CI","22","0","22",
"Wake CC","1","0","1",
"Warren CI","4","0","4",
"Wilkes CC","1","1","0",
"Statewide Totals","2092","692","1400",
