"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","6","0","6",
"Alexander CI","3","0","3",
"Anson CI","2","0","2",
"Avery-Mitchell CI","4","0","4",
"Bertie CI","48","10","38",
"Burke CRV","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","27","17","10",
"Carteret CC","0","0","0",
"Caswell CC","418","41","377",
"Catawba CC","0","0","0",
"Central Prison","74","8","66",
"Columbus CI","1","0","1",
"Craggy CC","5","0","5",
"Craven CI","32","0","32",
"Dan River PWF","1","0","1",
"Davidson CC","1","0","1",
"Eastern CI","6","0","6",
"Foothills CI","13","8","5",
"Forsyth CC","0","0","0",
"Franklin CC","0","0","0",
"Gaston CC","0","0","0",
"Greene CI","24","0","24",
"Harnett CI","2","0","2",
"Hyde CI","2","0","2",
"Johnston CI","18","4","14",
"Lincoln CC","1","0","1",
"Lumberton CI","11","0","11",
"Marion CI","3","0","3",
"Maury CI","10","0","10",
"Morrison CI","0","0","0",
"Mountain View CI","6","0","6",
"NC CI Women","262","91","171",
"Nash CI","5","0","5",
"Neuse CI","701","466","235",
"New Hanover CC","1","0","1",
"North Piedmont CRV","0","0","0",
"Orange CC","2","0","2",
"Pamlico CI","4","0","4",
"Pasquotank CI","55","19","36",
"Pender CI","51","17","34",
"Piedmont CI","30","1","29",
"Polk CI","17","0","17",
"Randolph CC","2","0","2",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","47","5","42",
"Southern CI","7","3","4",
"Swannanoa CCW","0","0","0",
"Tabor CI","22","0","22",
"Wake CC","1","0","1",
"Warren CI","4","0","4",
"Wilkes CC","1","1","0",
"Statewide Totals","1939","691","1248",
