"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","1","0","1",
"Alexander CI","0","0","0",
"Anson CI","2","0","2",
"Avery-Mitchell CI","2","0","2",
"Bertie CI","12","0","12",
"Bladen CC","0","0","0",
"Caldwell CC","1","0","1",
"Caledonia CI","6","5","1",
"Carteret CC","0","0","0",
"Caswell CC","0","0","0",
"Catawba CC","0","0","0",
"Central Prison","21","0","21",
"Columbus CI","0","0","0",
"Craggy CC","3","0","3",
"Craven CI","3","0","3",
"Dan River PWF","0","0","0",
"Davidson CC","0","0","0",
"Eastern CI","2","0","2",
"Foothills CI","1","0","1",
"Forsyth CC","0","0","0",
"Franklin CC","0","0","0",
"Gaston CC","0","0","0",
"Greene CI","16","0","16",
"Harnett CI","0","0","0",
"Hyde CI","2","0","2",
"Johnston CI","17","3","14",
"Lincoln CC","0","0","0",
"Lumberton CI","1","0","1",
"Marion CI","0","0","0",
"Maury CI","7","0","7",
"Morrison CI","0","0","0",
"Mountain View CI","2","0","2",
"Nash CI","1","0","1",
"NCCIW Medical Facility","2","0","2",
"Neuse CI","22","19","3",
"New Hanover CC","0","0","0",
"North Pied CRV","0","0","0",
"Orange CC","0","0","0",
"Pamlico CI","0","0","0",
"Pasquotank CI","12","5","7",
"Pender CI","1","1","0",
"Piedmont CI","5","0","5",
"Polk CI","1","0","1",
"Randolph CC","1","0","1",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","6","1","5",
"Southern CI","1","0","1",
"Swannanoa CCW","0","0","0",
"Tabor CI","11","0","11",
"Wake CC","1","0","1",
"Warren CI","0","0","0",
"Wilkes CC","0","0","0",
"Statewide Totals","165","34","131",
