"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","504","68","436",
"Alexander CI","7","0","7",
"Anson CI","3","0","3",
"Avery-Mitchell CI","4","0","4",
"Bertie CI","51","10","41",
"Burke CRV","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","34","21","13",
"Carteret CC","0","0","0",
"Caswell CC","418","41","377",
"Catawba CC","3","0","3",
"Central Prison","160","11","149",
"Columbus CI","2","0","2",
"Craggy CC","7","0","7",
"Craven CI","489","0","489",
"Dan River PWF","4","0","4",
"Davidson CC","1","0","1",
"Eastern CI","6","0","6",
"Foothills CI","27","13","14",
"Forsyth CC","1","0","1",
"Franklin CC","1","0","1",
"Gaston CC","0","0","0",
"Greene CI","25","0","25",
"Harnett CI","6","0","6",
"Hyde CI","2","0","2",
"Johnston CI","20","4","16",
"Lincoln CC","1","0","1",
"Lumberton CI","15","0","15",
"Marion CI","4","0","4",
"Maury CI","11","0","11",
"Morrison CI","4","0","4",
"Mountain View CI","9","0","9",
"NC CI Women","494","91","403",
"Nash CI","8","0","8",
"Neuse CI","702","466","236",
"New Hanover CC","2","0","2",
"North Piedmont CRV","31","0","31",
"Orange CC","2","0","2",
"Pamlico CI","5","0","5",
"Pasquotank CI","55","19","36",
"Pender CI","52","17","35",
"Piedmont CI","422","2","420",
"Polk CI","192","1","191",
"Randolph CC","9","0","9",
"Rutherford CC","0","0","0",
"Sampson CI","3","0","3",
"Sanford CC","0","0","0",
"Scotland CI","54","5","49",
"Southern CI","23","3","20",
"Swannanoa CCW","0","0","0",
"Tabor CI","25","0","25",
"Wake CC","1","0","1",
"Warren CI","6","0","6",
"Wilkes CC","50","14","36",
"Statewide Totals","3962","786","3176",
