"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","3","0","3",
"Alexander CI","2","0","2",
"Anson CI","2","0","2",
"Avery-Mitchell CI","2","0","2",
"Bertie CI","41","10","31",
"Burke CRV","0","0","0",
"Caldwell CC","2","0","2",
"Caledonia CI","26","17","9",
"Carteret CC","0","0","0",
"Caswell CC","10","10","0",
"Catawba CC","0","0","0",
"Central Prison","46","4","42",
"Columbus CI","1","0","1",
"Craggy CC","3","0","3",
"Craven CI","8","0","8",
"Dan River PWF","0","0","0",
"Davidson CC","0","0","0",
"Eastern CI","3","0","3",
"Foothills CI","1","0","1",
"Forsyth CC","0","0","0",
"Franklin CC","0","0","0",
"Gaston CC","0","0","0",
"Greene CI","19","0","19",
"Harnett CI","0","0","0",
"Hyde CI","2","0","2",
"Johnston CI","17","3","14",
"Lincoln CC","0","0","0",
"Lumberton CI","9","0","9",
"Marion CI","1","0","1",
"Maury CI","7","0","7",
"Morrison CI","0","0","0",
"Mountain View CI","4","0","4",
"NC CI Women","219","91","128",
"Nash CI","1","0","1",
"Neuse CI","702","467","235",
"New Hanover CC","0","0","0",
"North Piedmont CRV","0","0","0",
"Orange CC","1","0","1",
"Pamlico CI","2","0","2",
"Pasquotank CI","51","19","32",
"Pender CI","49","17","32",
"Piedmont CI","14","0","14",
"Polk CI","6","0","6",
"Randolph CC","1","0","1",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","21","3","18",
"Southern CI","4","3","1",
"Swannanoa CCW","0","0","0",
"Tabor CI","18","0","18",
"Wake CC","1","0","1",
"Warren CI","0","0","0",
"Wilkes CC","0","0","0",
"Statewide Totals","1301","644","657",
