"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","3","0","3",
"Alexander CI","2","0","2",
"Anson CI","2","0","2",
"Avery-Mitchell CI","3","0","3",
"Bertie CI","45","10","35",
"Burke CRV","0","0","0",
"Caldwell CC","6","0","6",
"Caledonia CI","27","17","10",
"Carteret CC","0","0","0",
"Caswell CC","11","11","0",
"Catawba CC","0","0","0",
"Central Prison","53","7","46",
"Columbus CI","1","0","1",
"Craggy CC","3","0","3",
"Craven CI","9","0","9",
"Dan River PWF","0","0","0",
"Davidson CC","0","0","0",
"Eastern CI","5","0","5",
"Foothills CI","2","0","2",
"Forsyth CC","0","0","0",
"Franklin CC","0","0","0",
"Gaston CC","0","0","0",
"Greene CI","23","0","23",
"Harnett CI","0","0","0",
"Hyde CI","2","0","2",
"Johnston CI","17","3","14",
"Lincoln CC","0","0","0",
"Lumberton CI","9","0","9",
"Marion CI","1","0","1",
"Maury CI","9","0","9",
"Morrison CI","0","0","0",
"Mountain View CI","4","0","4",
"NC CI Women","233","91","142",
"Nash CI","1","0","1",
"Neuse CI","701","466","235",
"New Hanover CC","0","0","0",
"North Piedmont CRV","0","0","0",
"Orange CC","1","0","1",
"Pamlico CI","2","0","2",
"Pasquotank CI","54","19","35",
"Pender CI","51","17","34",
"Piedmont CI","15","0","15",
"Polk CI","6","0","6",
"Randolph CC","1","0","1",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","43","5","38",
"Southern CI","6","3","3",
"Swannanoa CCW","0","0","0",
"Tabor CI","20","0","20",
"Wake CC","1","0","1",
"Warren CI","1","0","1",
"Wilkes CC","1","1","0",
"Statewide Totals","1376","650","726",
