"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","1","0","1",
"Alexander CI","1","0","1",
"Anson CI","2","0","2",
"Avery-Mitchell CI","2","0","2",
"Bertie CI","17","0","17",
"Burke CRV","0","0","0",
"Caldwell CC","2","0","2",
"Caledonia CI","13","10","3",
"Carteret CC","0","0","0",
"Caswell CC","2","2","0",
"Catawba CC","0","0","0",
"Central Prison","25","1","24",
"Columbus CI","0","0","0",
"Craggy CC","3","0","3",
"Craven CI","4","0","4",
"Dan River PWF","0","0","0",
"Davidson CC","0","0","0",
"Eastern CI","3","0","3",
"Foothills CI","1","0","1",
"Forsyth CC","0","0","0",
"Franklin CC","0","0","0",
"Gaston CC","0","0","0",
"Greene CI","17","0","17",
"Harnett CI","0","0","0",
"Hyde CI","2","0","2",
"Johnston CI","17","3","14",
"Lincoln CC","0","0","0",
"Lumberton CI","1","0","1",
"Marion CI","0","0","0",
"Maury CI","7","0","7",
"Morrison CI","0","0","0",
"Mountain View CI","3","0","3",
"NC CI Women","16","8","8",
"Nash CI","1","0","1",
"Neuse CI","405","253","152",
"New Hanover CC","0","0","0",
"North Piedmont CRV","0","0","0",
"Orange CC","0","0","0",
"Pamlico CI","0","0","0",
"Pasquotank CI","49","19","30",
"Pender CI","3","2","1",
"Piedmont CI","11","0","11",
"Polk CI","1","0","1",
"Randolph CC","1","0","1",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","16","2","14",
"Southern CI","2","1","1",
"Swannanoa CCW","0","0","0",
"Tabor CI","12","0","12",
"Wake CC","1","0","1",
"Warren CI","0","0","0",
"Wilkes CC","0","0","0",
"Statewide Totals","643","301","342",
