"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI *","771","76","695",
"Alexander CI","7","0","7",
"Anson CI","3","0","3",
"Avery-Mitchell CI","8","0","8",
"Bertie CI","51","10","41",
"Burke CRV *","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","37","23","14",
"Carteret CC","0","0","0",
"Caswell CC *","418","41","377",
"Catawba CC","3","0","3",
"Central Prison","215","13","202",
"Columbus CI","2","0","2",
"Craggy CC","7","0","7",
"Craven CI *","636","0","636",
"Dan River PWF","4","0","4",
"Davidson CC","1","0","1",
"Eastern CI","6","0","6",
"Foothills CI","27","13","14",
"Forsyth CC","1","0","1",
"Franklin CC","1","0","1",
"Gaston CC","1","0","1",
"Greene CI","25","0","25",
"Harnett CI","6","0","6",
"Hyde CI","2","0","2",
"Johnston CI *","20","4","16",
"Lincoln CC","1","0","1",
"Lumberton CI","15","0","15",
"Marion CI","4","0","4",
"Maury CI","11","0","11",
"Morrison CI","5","0","5",
"Mountain View CI","9","0","9",
"NC CI Women","527","91","436",
"Nash CI","9","0","9",
"Neuse CI *","702","466","236",
"New Hanover CC","2","0","2",
"North Piedmont CRV","31","0","31",
"Orange CC","2","0","2",
"Pamlico CI","5","0","5",
"Pasquotank CI","56","19","37",
"Pender CI","52","17","35",
"Piedmont CI","504","3","501",
"Polk CI","195","1","194",
"Randolph CC","10","0","10",
"Rutherford CC","0","0","0",
"Sampson CI","3","0","3",
"Sanford CC","1","0","1",
"Scotland CI","56","5","51",
"Southern CI *","23","3","20",
"Swannanoa CCW","1","0","1",
"Tabor CI","25","0","25",
"Wake CC","1","0","1",
"Warren CI","6","0","6",
"Wilkes CC","50","14","36",
"Statewide Totals","4565","799","3766",
