"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","6","0","6",
"Alexander CI","3","0","3",
"Anson CI","2","0","2",
"Avery-Mitchell CI","4","0","4",
"Bertie CI","47","10","37",
"Burke CRV","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","27","17","10",
"Carteret CC","0","0","0",
"Caswell CC","417","41","376",
"Catawba CC","0","0","0",
"Central Prison","68","7","61",
"Columbus CI","1","0","1",
"Craggy CC","4","0","4",
"Craven CI","32","0","32",
"Dan River PWF","1","0","1",
"Davidson CC","1","0","1",
"Eastern CI","5","0","5",
"Foothills CI","7","3","4",
"Forsyth CC","0","0","0",
"Franklin CC","0","0","0",
"Gaston CC","0","0","0",
"Greene CI","24","0","24",
"Harnett CI","1","0","1",
"Hyde CI","2","0","2",
"Johnston CI","17","3","14",
"Lincoln CC","1","0","1",
"Lumberton CI","11","0","11",
"Marion CI","3","0","3",
"Maury CI","10","0","10",
"Morrison CI","0","0","0",
"Mountain View CI","5","0","5",
"NC CI Women","252","91","161",
"Nash CI","2","0","2",
"Neuse CI","701","466","235",
"New Hanover CC","1","0","1",
"North Piedmont CRV","0","0","0",
"Orange CC","1","0","1",
"Pamlico CI","4","0","4",
"Pasquotank CI","55","19","36",
"Pender CI","51","17","34",
"Piedmont CI","24","1","23",
"Polk CI","15","0","15",
"Randolph CC","2","0","2",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","45","5","40",
"Southern CI","6","3","3",
"Swannanoa CCW","0","0","0",
"Tabor CI","20","0","20",
"Wake CC","1","0","1",
"Warren CI","4","0","4",
"Wilkes CC","1","1","0",
"Statewide Totals","1893","684","1209",
