"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","13","6","7",
"Alexander CI","5","0","5",
"Anson CI","3","0","3",
"Avery-Mitchell CI","4","0","4",
"Bertie CI","49","10","39",
"Burke CRV","0","0","0",
"Caldwell CC","7","0","7",
"Caledonia CI","32","19","13",
"Carteret CC","0","0","0",
"Caswell CC","418","41","377",
"Catawba CC","0","0","0",
"Central Prison","129","8","121",
"Columbus CI","2","0","2",
"Craggy CC","6","0","6",
"Craven CI","279","0","279",
"Dan River PWF","2","0","2",
"Davidson CC","1","0","1",
"Eastern CI","6","0","6",
"Foothills CI","22","12","10",
"Forsyth CC","1","0","1",
"Franklin CC","1","0","1",
"Gaston CC","0","0","0",
"Greene CI","25","0","25",
"Harnett CI","6","0","6",
"Hyde CI","2","0","2",
"Johnston CI","18","4","14",
"Lincoln CC","1","0","1",
"Lumberton CI","12","0","12",
"Marion CI","3","0","3",
"Maury CI","11","0","11",
"Morrison CI","4","0","4",
"Mountain View CI","8","0","8",
"NC CI Women","385","91","294",
"Nash CI","7","0","7",
"Neuse CI","701","466","235",
"New Hanover CC","1","0","1",
"North Piedmont CRV","31","0","31",
"Orange CC","2","0","2",
"Pamlico CI","5","0","5",
"Pasquotank CI","55","19","36",
"Pender CI","52","17","35",
"Piedmont CI","273","2","271",
"Polk CI","151","1","150",
"Randolph CC","4","0","4",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","52","5","47",
"Southern CI","23","3","20",
"Swannanoa CCW","0","0","0",
"Tabor CI","24","0","24",
"Wake CC","1","0","1",
"Warren CI","4","0","4",
"Wilkes CC","50","14","36",
"Statewide Totals","2893","718","2175",
